W1 mean unc yes/no,W1 epoch measurements
0,15
0,16
0,12
0,9
0,10
0,11
0,9
0,12
0,13
0,15
0,25
0,10
0,6
0,10
0,8
0,11
0,7
0,9
1,3
1,9
0,8
0,10
0,17
0,14
0,10
0,19
0,8
1,2
1,3
1,2
1,2
1,1
1,2
0,10
1,4
0,5
1,2
0,5
1,1
1,1
1,1
1,2
1,2
1,1
1,2
1,2
1,3
0,22
0,22
0,6
0,12
0,10
0,10
0,5
0,8
0,10
0,17
0,19
0,21
0,8
0,7
1,6
1,5
0,8
1,7
0,5
1,6
1,11
0,9
0,6
0,1
0,22
0,29
0,19
0,24
0,26
0,23
0,26
0,24
0,23
0,29
0,25
0,38
0,26
0,20
0,26
0,18
0,23
0,15
0,18
0,21
0,21
0,21
0,21
0,16
0,15
0,21
1,8
0,9
0,5
0,2
0,5
1,2
0,13
0,11
0,11
0,7
0,12
1,7
0,7
0,4
0,9
1,4
0,9
1,3
0,8
0,9
0,14
0,8
1,1
1,1
1,2
1,3
1,2
1,1
1,1
1,1
1,1
0,1
0,14
0,12
0,5
0,7
0,4
1,1
0,4
0,19
0,7
0,11
0,10
0,7
1,3
0,9
0,4
0,9
0,5
1,6
0,2
0,8
0,6
1,3
0,8
0,14
0,22
0,7
0,8
0,5
0,5
0,7
1,2
0,8
0,8
0,10
0,9
0,6
1,9
0,7
0,4
0,16
0,7
1,3
0,5
0,12
0,6
0,10
1,2
0,11
0,40
0,28
0,5
1,10
1,5
0,7
1,6
0,9
0,13
0,12
0,5
1,4
0,3
1,1
1,3
1,3
1,4
0,3
1,4
0,7
1,8
0,4
0,16
1,8
0,23
0,20
0,22
0,7
0,16
0,13
0,11
0,11
0,18
0,26
0,7
0,11
0,14
0,8
0,12
0,10
0,15
0,12
0,13
0,7
0,7
0,10
0,8
1,4
0,14
0,11
0,7
0,7
0,16
0,9
0,8
0,9
0,10
0,9
0,12
0,6
0,10
0,8
0,11
0,8
0,10
0,8
0,9
0,10
0,11
0,10
0,12
0,19
0,26
0,21
0,13
0,14
0,15
0,32
0,12
0,17
0,16
0,15
0,14
0,13
0,18
0,15
0,10
0,13
0,12
0,16
0,15
0,20
0,11
0,14
0,13
0,7
0,12
0,12
0,8
0,11
0,12
0,13
0,11
0,13
0,11
0,12
0,13
1,10
0,11
0,11
0,11
0,10
0,10
0,10
0,13
0,8
0,12
0,7
0,9
0,10
0,15
0,10
0,10
0,10
0,10
0,6
0,9
0,8
0,13
0,9
0,9
0,9
0,9
1,10
0,10
0,11
0,9
0,9
0,11
0,11
1,6
0,11
0,6
0,7
0,20
0,18
0,16
0,17
0,15
0,14
0,16
0,16
0,17
0,17
0,22
0,9
0,18
0,9
0,19
0,13
0,22
0,12
0,20
0,15
0,16
0,11
0,32
0,17
0,16
0,13
0,18
0,16
0,16
0,19
0,17
0,17
0,15
0,15
0,18
1,13
0,22
0,13
0,16
0,28
0,16
0,14
0,15
0,16
0,17
0,8
0,12
0,9
1,2
1,1
1,1
1,2
0,2
1,3
1,1
1,1
1,2
0,1
0,9
0,10
0,2
1,1
1,1
1,1
1,2
0,2
1,1
1,1
1,1
0,1
0,18
0,14
1,1
1,1
1,1
1,1
1,1
1,3
1,2
1,2
1,3
1,1
1,2
0,1
0,26
0,17
0,12
0,8
0,11
0,6
1,9
0,15
0,21
0,11
0,12
0,13
0,12
0,9
0,20
0,10
0,12
0,15
0,11
0,12
0,13
0,15
0,13
0,17
0,10
0,7
0,10
0,6
0,10
0,12
0,13
0,13
0,13
1,12
0,15
1,5
0,8
0,12
0,12
0,9
0,11
0,9
0,13
0,11
0,7
0,10
0,21
0,20
0,6
0,7
0,8
1,5
0,3
0,6
0,6
0,7
0,3
1,2
1,4
1,4
0,10
1,2
1,5
0,6
0,10
0,6
1,1
0,6
0,8
0,17
0,7
1,1
1,2
0,2
1,2
1,1
1,1
1,2
0,1
0,17
0,31
0,21
0,24
0,14
0,12
0,17
0,9
0,12
0,12
0,10
0,10
0,6
0,10
0,11
0,16
1,6
0,14
0,13
0,12
0,15
0,10
0,11
0,11
0,5
1,1
0,13
0,12
0,13
0,6
0,2
1,5
0,11
0,6
0,12
0,11
0,18
0,10
0,14
0,8
0,11
0,6
0,13
0,8
0,9
0,9
0,11
0,10
0,8
1,4
0,16
0,20
0,14
1,3
0,12
0,5
1,3
0,3
0,2
0,12
0,16
0,7
0,7
0,7
1,11
0,7
1,3
0,5
0,6
1,4
0,7
0,7
0,19
1,6
1,6
0,13
0,11
0,10
0,10
0,11
1,6
0,10
0,9
0,12
0,9
0,11
0,7
0,13
0,8
0,10
0,6
0,10
0,9
0,11
0,7
0,12
0,7
0,12
0,10
0,13
1,1
0,10
0,8
1,7
0,8
0,9
0,7
0,13
0,10
0,12
0,8
0,20
0,6
0,12
0,4
0,11
1,4
1,10
0,7
0,11
0,5
0,12
0,8
1,4
0,4
0,2
0,2
0,6
1,2
0,3
1,1
0,3
0,4
0,4
1,4
1,1
0,2
1,1
0,2
0,5
1,1
0,1
0,11
0,17
0,13
0,11
0,14
0,26
0,9
0,11
0,10
0,16
0,14
0,15
0,14
0,12
0,8
0,12
0,8
0,14
0,17
0,15
0,7
0,15
0,15
0,15
0,7
0,16
0,16
0,13
0,10
0,8
0,10
0,11
0,13
0,16
0,12
0,14
0,14
0,11
0,25
0,13
0,13
0,9
0,9
0,7
0,8
0,14
0,11
0,7
0,14
0,12
0,9
0,7
1,7
0,5
1,4
0,15
0,5
1,7
0,7
0,10
0,6
0,14
0,6
0,6
0,8
0,4
0,13
0,7
0,8
0,7
0,5
0,16
1,12
0,11
0,11
0,7
0,10
0,8
0,24
0,14
0,10
0,10
0,8
1,11
0,7
0,11
0,8
0,10
0,10
0,7
0,4
0,17
0,4
0,10
0,18
0,22
0,18
0,16
0,15
0,15
0,18
0,17
0,16
0,36
0,21
0,13
0,17
0,12
0,34
0,21
0,16
0,9
0,16
0,13
0,16
0,27
0,19
0,11
0,3
0,16
0,17
1,1
1,1
1,3
0,3
1,3
1,1
1,5
0,3
1,2
1,2
1,1
1,2
0,4
1,2
1,2
0,16
0,12
0,8
1,8
1,6
1,5
0,6
0,25
0,10
0,13
0,11
0,11
1,6
0,8
0,9
0,10
0,7
0,11
0,7
0,8
0,13
0,8
0,9
0,24
0,26
0,10
0,18
0,26
0,18
0,30
0,33
0,23
0,21
0,21
0,25
0,19
0,21
0,27
0,17
0,14
0,20
0,18
0,15
0,15
0,16
0,19
0,17
0,13
0,15
0,24
0,35
0,21
0,23
0,20
0,20
0,25
0,35
0,21
0,17
0,24
0,18
0,24
0,17
0,21
0,13
0,19
0,18
0,47
0,11
0,17
0,23
0,20
0,16
0,23
0,19
0,10
0,13
0,15
0,13
1,5
0,17
0,14
0,17
0,8
0,15
0,12
0,14
0,19
0,14
0,9
0,23
0,9
0,14
0,13
0,14
0,8
0,11
0,13
0,12
0,11
0,12
0,11
0,11
0,17
0,21
0,12
0,8
0,12
0,12
0,11
0,9
0,22
0,9
0,12
0,12
0,11
0,10
0,11
0,13
0,12
0,5
0,17
0,12
0,12
0,12
0,8
0,12
0,12
0,22
0,11
0,12
0,12
1,13
0,10
0,11
0,8
0,10
0,12
0,12
1,12
0,10
0,13
0,11
0,21
0,21
0,22
0,20
0,19
0,21
0,20
0,38
0,19
0,17
0,19
0,15
0,22
0,14
0,19
0,12
0,20
0,13
0,20
0,15
0,19
0,16
0,15
0,15
0,19
0,15
0,11
0,18
0,13
0,17
0,17
0,15
0,16
0,32
0,18
0,15
0,13
0,13
0,23
0,16
0,11
0,13
0,15
0,18
0,13
0,34
0,14
0,16
1,1
1,1
0,2
1,1
1,2
1,2
0,2
1,1
1,2
0,6
1,1
1,3
1,1
1,3
0,2
0,1
1,1
1,2
1,2
0,2
1,2
1,1
1,1
1,1
1,1
1,1
0,1
0,11
0,12
1,1
1,1
1,1
1,1
1,2
1,1
0,1
0,17
0,12
1,1
1,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
0,1
0,17
0,10
0,6
0,6
0,4
0,6
0,5
0,12
0,24
0,12
0,7
0,9
0,15
0,10
0,11
0,9
0,11
0,11
0,10
0,9
0,15
0,11
0,11
0,26
0,14
0,32
0,19
0,20
0,23
0,20
0,24
0,37
0,46
0,19
0,23
0,24
0,22
0,20
0,24
0,19
0,23
0,23
0,22
0,22
0,40
0,19
0,24
0,40
0,22
0,19
0,19
0,19
0,14
0,17
0,19
0,19
0,19
0,23
0,19
0,19
0,22
0,21
0,27
0,21
0,19
0,26
0,18
0,10
0,18
0,19
1,1
1,2
1,2
0,2
1,2
1,1
1,1
1,1
1,3
1,2
0,4
1,4
1,2
1,1
1,1
0,3
1,1
0,1
0,14
0,19
0,15
0,22
0,11
0,15
0,30
0,19
0,16
0,15
0,17
0,16
0,12
0,12
0,15
0,13
0,12
0,11
0,12
0,11
0,14
0,14
0,23
0,17
0,24
0,16
0,17
0,15
0,20
0,14
0,20
0,33
0,24
0,17
0,18
0,20
0,20
0,21
0,24
0,18
0,20
0,18
0,23
0,19
0,20
0,15
0,16
0,13
0,6
1,3
0,4
1,1
1,3
1,6
1,3
0,8
0,3
0,2
0,8
1,4
1,5
0,2
1,2
0,2
0,2
1,6
1,3
0,2
0,12
1,10
0,11
0,11
1,9
0,9
0,9
0,8
1,9
0,12
0,10
0,12
0,7
0,11
0,9
0,17
1,9
0,10
0,8
0,10
1,3
0,11
0,8
1,3
1,2
1,1
1,2
1,5
1,2
1,2
0,2
0,2
1,7
1,2
1,1
1,1
1,2
1,2
1,2
1,2
0,1
0,11
0,12
0,5
0,9
0,4
1,3
1,6
0,11
0,9
0,9
0,5
0,7
0,6
0,10
0,2
0,8
1,3
0,8
1,5
1,5
0,7
1,9
0,5
0,18
0,15
0,12
0,17
0,16
0,13
0,12
0,32
0,23
0,18
0,20
0,15
0,17
0,16
0,18
0,15
0,16
0,20
0,10
0,20
0,25
0,14
0,15
0,12
0,11
0,12
0,8
0,8
0,6
1,5
1,6
1,3
0,9
0,14
0,11
0,9
0,13
0,10
0,9
0,11
1,7
0,7
0,11
0,7
0,7
0,9
0,11
0,3
0,43
0,22
0,20
0,17
0,20
0,19
0,17
0,18
0,17
0,20
0,22
0,20
0,20
0,20
0,19
0,28
0,20
0,18
0,29
0,14
0,8
0,16
0,19
0,19
0,17
0,12
0,14
0,15
0,12
0,13
0,10
0,27
0,10
0,13
0,12
0,17
0,12
0,14
0,10
0,13
0,13
0,7
0,9
0,17
0,9
1,9
0,23
0,27
1,2
0,16
0,24
0,15
0,24
0,34
0,20
0,18
0,21
0,23
0,23
0,23
0,19
0,15
0,17
0,18
0,23
0,21
0,18
0,17
0,19
0,22
0,15
0,13
0,10
1,1
1,1
1,1
0,2
1,1
1,1
1,1
1,2
1,1
0,1
0,13
0,9
1,3
1,4
1,3
0,4
1,5
1,1
1,9
1,1
0,7
1,1
1,6
0,5
1,1
1,1
1,1
1,3
1,3
1,1
0,1
1,3
0,2
1,1
1,3
0,2
1,1
1,2
1,3
1,1
1,2
1,2
0,2
0,3
1,1
1,2
1,2
1,2
0,19
0,26
0,15
0,37
0,19
0,13
0,20
0,22
0,19
0,15
0,24
0,20
0,18
0,12
0,17
0,5
0,15
0,10
0,16
0,10
0,12
0,11
0,25
1,3
0,22
1,11
1,3
0,12
0,8
1,7
0,4
0,15
0,11
0,12
0,24
0,13
1,7
0,12
0,6
0,12
1,8
0,11
0,12
0,18
1,7
0,7
0,10
0,12
0,10
0,8
0,12
0,12
0,12
0,9
0,7
0,11
1,8
0,13
0,7
1,8
0,8
0,7
0,6
0,15
1,3
0,6
0,15
0,11
1,9
0,11
0,11
0,10
0,9
0,9
1,12
0,7
0,9
0,8
0,12
0,9
0,11
0,6
0,10
0,6
0,10
0,10
0,11
0,9
0,10
0,6
0,18
0,7
0,12
0,11
0,9
0,12
0,10
0,11
0,9
0,8
0,10
0,9
0,8
0,12
0,8
0,11
0,6
0,12
0,9
0,12
0,9
0,13
1,4
0,19
0,7
0,13
0,14
0,7
0,11
0,7
0,10
0,11
0,9
0,8
0,12
0,7
0,11
0,5
0,20
1,7
0,15
0,12
1,8
1,5
0,11
1,8
0,11
0,6
1,12
0,12
0,17
0,14
0,8
0,11
0,20
0,4
1,8
0,11
0,15
1,8
0,17
0,9
0,7
0,5
1,6
0,6
0,4
1,7
0,11
0,6
0,11
0,10
0,12
1,3
0,9
0,14
0,5
0,4
1,5
0,5
0,3
0,3
0,5
0,8
0,9
0,9
0,8
0,4
0,5
1,5
1,5
0,4
0,2
0,5
1,2
0,5
0,7
0,9
1,3
0,15
0,15
1,2
1,2
1,2
1,4
0,3
1,3
0,7
1,3
0,6
0,2
1,5
0,2
1,3
1,1
1,2
1,2
1,2
1,3
1,3
1,1
0,1
0,15
0,15
1,9
0,4
1,5
1,3
1,5
0,7
0,12
0,9
1,6
1,5
0,4
1,3
1,7
1,4
1,5
0,4
0,6
0,5
0,9
1,3
0,6
0,40
0,29
0,14
0,24
0,15
0,20
0,14
0,21
0,22
0,24
0,26
0,19
0,20
0,18
0,11
0,16
0,30
0,17
0,13
0,14
0,19
0,18
0,15
0,18
0,15
0,15
1,3
1,1
1,2
1,2
1,1
1,1
1,1
1,1
1,1
0,1
0,19
0,15
1,1
1,1
1,3
0,2
1,1
1,1
1,1
0,1
0,27
0,19
1,4
1,1
1,3
1,1
0,6
1,5
1,4
1,2
0,5
1,4
0,9
0,2
1,3
1,1
0,5
0,4
0,3
1,2
0,10
0,23
0,12
0,8
0,7
0,6
0,5
1,6
0,6
1,2
0,4
0,7
0,5
1,5
1,8
0,4
1,3
0,6
0,7
0,7
0,4
0,6
1,5
0,10
0,7
0,16
0,18
0,8
0,17
0,13
0,10
0,10
0,16
0,16
0,23
0,14
0,15
0,14
0,15
0,11
0,11
1,12
0,13
0,12
0,13
0,15
0,26
0,9
1,7
0,15
0,13
1,2
0,2
1,1
1,2
1,1
1,2
1,1
1,1
1,2
0,2
1,2
0,2
0,1
0,14
0,12
0,6
0,6
0,9
0,9
1,4
0,11
0,8
0,10
0,17
0,8
0,5
1,2
0,7
0,8
1,7
0,7
0,6
0,8
0,8
0,4
0,6
0,28
0,67
0,32
1,15
0,14
1,6
0,11
1,4
1,3
0,15
1,7
0,7
0,6
1,3
0,4
1,6
1,8
1,2
0,5
1,8
1,7
0,5
1,5
0,6
0,1
0,18
0,25
0,16
0,17
0,25
0,18
0,39
0,27
0,22
0,21
0,25
0,22
0,25
0,23
0,37
0,23
0,19
0,24
0,16
0,19
0,20
0,26
0,20
0,22
0,19
0,27
0,18
0,20
1,15
0,14
0,17
0,22
0,8
0,30
0,33
0,12
0,12
0,15
0,15
0,16
0,14
0,11
0,14
0,13
0,19
0,19
0,31
0,16
0,15
0,11
0,12
0,8
0,11
0,9
0,7
0,10
0,7
0,10
0,10
0,8
0,11
0,8
0,10
0,8
0,10
0,8
0,8
0,7
0,9
0,5
1,8
0,9
0,27
0,44
0,27
0,28
0,26
0,17
0,16
0,17
0,13
0,39
0,27
0,8
0,12
1,8
0,4
0,8
0,26
0,9
0,8
1,1
0,17
0,5
0,27
0,6
0,6
0,12
0,24
0,9
0,11
0,16
0,6
0,16
0,3
0,12
0,16
0,15
0,6
0,11
1,7
0,14
0,9
0,25
1,5
1,1
1,5
0,13
1,6
0,22
0,6
0,8
0,9
0,12
0,9
0,6
0,7
1,6
0,9
0,6
0,7
0,8
0,9
0,5
1,5
1,7
1,6
1,4
1,6
0,5
1,6
1,4
0,8
1,4
1,6
0,5
1,4
0,14
0,13
0,12
0,11
0,11
0,10
0,11
0,10
0,11
0,9
0,12
0,6
0,10
0,9
0,8
0,13
0,7
0,13
0,11
0,9
0,12
0,9
0,23
0,26
0,7
0,7
0,6
0,5
0,11
0,13
0,7
0,7
1,5
1,7
0,9
1,6
0,5
1,3
1,5
0,5
1,5
0,5
1,4
1,7
1,3
0,9
1,3
0,12
0,13
0,16
1,3
0,7
1,2
0,6
1,4
0,16
0,9
0,10
1,3
0,4
0,8
0,8
0,5
0,8
0,5
0,7
0,5
1,4
0,8
0,12
0,5
0,13
0,13
0,11
0,11
0,9
0,10
0,12
0,12
0,6
0,11
0,7
0,11
0,3
0,7
1,5
0,15
0,7
0,11
0,8
0,10
0,2
0,9
0,17
0,15
0,6
0,8
0,4
0,5
1,1
0,10
0,6
0,12
0,8
0,12
0,6
1,8
0,13
0,9
0,6
0,8
1,3
0,11
0,9
0,8
0,6
0,10
0,19
0,15
0,11
0,13
0,22
0,13
0,12
0,14
0,17
0,15
0,14
0,14
0,10
0,13
0,12
0,10
0,11
0,17
0,9
0,12
0,10
0,15
0,12
0,17
0,28
0,20
0,35
0,16
0,23
0,22
0,15
0,17
0,25
0,33
0,18
0,21
0,23
0,22
0,20
0,36
0,20
0,18
0,21
0,17
0,20
0,15
0,16
0,14
1,3
0,12
1,7
1,5
0,11
0,4
0,11
0,7
0,6
0,8
0,10
0,10
0,12
0,5
0,11
0,7
0,9
0,7
0,9
0,5
0,10
0,8
1,9
0,6
0,16
0,9
0,11
0,9
0,10
1,7
0,11
0,6
0,5
0,11
0,8
1,6
0,10
1,6
0,10
0,16
0,9
0,7
0,8
0,8
1,4
0,8
0,10
0,4
0,8
0,8
0,11
0,14
0,9
0,11
0,8
0,11
0,7
0,11
0,6
0,11
1,5
0,17
0,7
0,9
0,6
0,8
0,9
0,7
1,5
0,8
0,10
0,9
0,13
0,8
0,7
0,20
0,26
0,23
0,18
0,25
0,20
0,51
0,26
0,25
0,20
0,25
0,23
0,25
0,22
0,36
0,23
0,19
0,22
0,22
0,20
0,32
0,22
0,25
0,27
0,24
0,16
1,19
0,12
0,16
0,12
0,13
0,13
0,15
0,25
0,18
0,18
0,18
0,19
0,15
0,32
0,16
0,18
0,23
0,20
0,15
0,13
0,16
0,17
0,11
0,10
0,10
0,10
0,12
0,10
0,13
0,9
0,11
0,10
0,11
0,7
0,12
0,6
0,13
0,9
0,9
0,7
0,12
1,6
0,18
0,4
0,10
0,37
0,27
1,5
0,8
1,3
1,4
0,4
1,3
1,1
0,11
0,6
0,5
1,3
1,1
1,1
1,5
1,9
1,2
1,1
1,4
1,2
1,2
0,11
0,11
0,8
0,9
0,10
0,10
0,10
1,8
0,10
0,5
0,10
0,6
0,10
1,3
0,11
0,8
0,9
1,6
0,9
0,6
0,11
1,5
0,8
0,20
0,22
0,11
0,12
0,6
0,6
0,7
0,15
0,12
1,10
0,13
0,9
0,12
1,6
0,8
0,7
0,9
1,7
0,20
0,6
0,8
0,8
0,13
0,10
0,12
0,2
1,3
1,2
1,1
1,3
0,5
1,4
0,5
0,6
1,7
1,3
0,6
1,4
1,3
1,5
1,3
0,5
0,6
0,6
0,6
0,6
1,2
1,1
1,2
1,1
1,1
1,1
1,1
1,1
0,2
1,1
1,2
1,5
1,1
1,3
1,3
1,1
1,3
0,2
1,1
1,3
0,12
0,14
0,8
0,12
0,12
0,8
1,6
0,7
0,6
0,8
0,11
0,5
0,6
0,6
0,7
0,8
0,8
0,4
0,5
0,5
0,7
0,8
0,4
0,5
0,2
0,13
0,12
1,10
0,5
0,8
0,7
1,5
0,6
1,7
0,7
0,2
0,6
0,8
0,6
1,5
1,3
0,4
0,3
1,4
0,4
1,7
1,4
1,3
0,16
0,13
1,2
1,5
0,4
1,2
1,2
0,7
0,6
0,4
1,2
1,2
1,1
1,1
1,3
1,1
1,4
1,2
1,1
1,3
1,2
1,2
0,1
0,11
0,10
0,11
0,5
0,9
0,7
0,18
0,9
0,11
0,7
0,13
0,8
0,9
0,6
0,9
0,6
0,9
0,6
0,10
1,8
0,5
0,8
0,12
0,12
0,12
0,7
0,12
0,5
0,7
0,24
0,15
0,9
0,14
0,11
0,16
0,9
0,14
0,12
0,13
0,12
0,15
0,10
0,24
0,7
0,12
0,13
0,11
0,14
0,11
0,9
0,20
0,16
0,9
0,13
0,13
0,16
0,12
0,15
0,14
1,14
0,12
0,11
0,11
0,15
0,12
0,14
0,17
0,33
0,18
0,34
0,18
0,18
0,18
0,16
0,15
0,18
0,14
0,16
0,18
0,16
0,14
0,16
0,15
0,20
0,19
0,20
0,17
0,18
0,19
0,12
0,14
0,15
0,26
0,21
0,19
0,21
0,17
0,23
0,19
0,22
0,23
0,22
0,20
0,18
0,39
0,21
0,19
0,21
0,19
0,22
0,26
0,38
0,16
0,21
0,21
0,18
0,29
0,7
0,6
0,9
0,8
0,6
1,2
0,8
0,11
0,9
0,9
0,8
0,7
0,3
0,8
0,7
0,6
0,7
0,9
0,8
1,6
0,7
1,8
0,12
0,18
0,13
0,13
0,16
0,25
0,16
0,13
0,14
0,12
0,18
0,15
0,23
0,14
0,11
0,15
0,15
0,12
0,20
0,11
0,15
0,14
0,15
0,12
0,8
0,12
0,11
0,8
0,8
0,8
1,7
1,4
0,7
0,10
0,8
1,9
0,7
0,6
1,6
0,6
0,6
0,7
1,4
0,6
0,4
0,6
1,6
1,5
0,24
0,21
0,26
0,5
0,13
0,13
0,9
0,13
0,14
0,14
0,12
0,14
0,9
0,10
1,8
1,11
0,10
1,11
1,4
0,8
0,6
1,6
1,1
1,6
0,27
0,42
0,24
0,29
0,25
0,17
0,13
1,12
0,12
0,32
0,18
1,6
0,12
0,6
1,3
0,7
0,13
1,8
0,5
1,2
0,12
1,3
0,15
0,5
0,4
0,15
0,24
0,7
0,9
0,6
0,11
1,4
0,13
0,15
0,12
0,9
0,5
0,13
0,14
0,10
0,6
0,9
1,6
0,21
0,8
0,10
0,8
1,9
0,8
0,13
0,16
0,4
0,12
0,16
0,10
0,5
0,8
0,13
0,12
0,13
0,11
1,5
1,6
0,10
0,11
0,9
0,11
0,8
0,8
0,6
0,12
0,8
0,6
0,5
0,11
0,11
0,12
0,10
1,10
0,10
0,8
0,11
1,7
0,13
0,9
1,11
0,9
0,9
0,12
0,12
0,4
1,9
0,8
0,11
0,7
0,10
1,6
0,7
0,22
0,27
0,16
0,24
0,19
0,20
0,12
0,17
0,16
0,21
0,33
0,21
0,17
0,16
0,18
0,16
0,17
0,28
0,19
0,13
0,16
0,19
0,16
0,9
0,15
0,11
0,4
1,5
0,10
1,8
0,5
0,8
0,6
1,6
0,5
0,5
0,7
0,4
0,5
0,6
0,7
0,6
1,5
0,5
0,6
0,7
1,4
0,11
0,14
0,12
0,12
0,7
0,11
0,7
0,11
1,7
0,11
0,11
0,12
0,11
0,10
0,10
0,14
0,8
0,8
0,6
0,9
0,9
0,7
0,10
0,11
0,7
0,14
0,12
0,11
0,11
0,9
1,5
1,6
0,19
0,21
0,10
0,16
1,9
0,16
0,9
0,15
0,11
0,15
0,9
0,14
0,10
0,30
0,7
0,14
1,2
0,12
